id;id_author;name;inst;gender
1;366;A. A. B. Lima;UFRJ;M
2;106;A. Dolenc;Telebrás;M
3;16;A. L. C. Cavalcanti;UFPE;F
4;616;Abdelsalam Helal;;M
5;1404;Abdul Nizar M.;;
6;612;Achim Leubner;;M
7;1228;Adolfo Guimaraes;;M
8;581;Adriana Bueno da Silva Roma;Universidade Federal do Rio Grande do Sul;F
9;257;Adriana L. Q. Mattoso;UFRJ;F
10;153;Adriana Maria R. do Nascimento;UFPE;F
11;938;Adriano Arantes Paterlini;ICMC-USP;M
12;1359;Adriano M. Pereira;;M
13;668;Adriano S. Arantes;;M
14;521;Adriano Veloso;UFMG;M
15;1312;Afonso Expedito Da Silva;;M
16;278;Agma J. M. Traina;USP;F
17;560;Agnès Voisard;;F
18;343;Ahmad R. Hadaegh;UM;M
19;54;Airton L. Barbosa;Consórcio CTI/BB/Embrapa;M
20;584;Ajay Kang;;M
21;929;Albert Weichselbraun;WU;M
22;75;Alberto H. F. Laender;UFMG;M
23;896;Aldo Monteiro do Nascimento;;M
24;1352;Aldo von Wangenheim;UFSC;M
25;1104;Aldri L. Dos Santos;;
26;735;Ale Smukler;;M
27;733;Alejandro A. Vaisman;;M
28;1126;Alessandreia Oliveira;UFF;F
29;1196;Alessandro Gustavo Farias Fior;;M
30;528;Alex Alves Freitas;University of Kent;M
31;758;Alexander Kuckelberg;;M
32;532;Alexander Ocsa;Universidad Nacional de San Agustin;M
33;165;Alexandre J. B. Martins;UFRGS;M
34;180;Alexandre M. Brito;PUCRJ;M
35;356;Alexandre Marcos Lins Vasconselos;UFPE;M
36;177;Alexandre P. de Carvalho;IBM;M
37;409;Alexandre Pedrosa Carneiro;TELEGOIÁS;M
38;1034;Alexandre Plastino;UFF;M
39;911;Alexandre R. Nardi;;M
40;137;Alexandre Ribenboim;PUCRJ;M
41;742;Alexandre Tagliari Lazzaretti;;M
42;764;Alexei Tretiakov;;M
43;1315;Aline Santos;;F
44;477;Allan J. C. Silva;UFMG;M
45;719;Allan José de Souza Bezerra;;M
46;173;Altigran S. Da Silva;UFAM;M
47;379;Álvaro Barbosa;PUCRJ;M
48;650;Alvaro Freitas Moreira;UFRGS;M
49;950;Álvaro R. Pereira Jr;;M
50;682;Ana Belén Martínez Prieto;;F
51;841;Ana Carolina Almeida;;M
52;63;Ana Carolina Salgado;UFPE;F
53;1026;Ana Christina Bringuente;UFES;F
54;872;Ana M. H. de Ávila;UNICAMP;F
55;23;Ana Maria de Carvalho Moura;IME;F
56;237;Ana Monteiro;Universidad Nacional de La Plata;F
57;937;Ana Paula Appel;;F
58;1022;Ana Paula Carvalho;UFMG;F
59;1337;Ana Paula Couto Da Silva;UFMG;F
60;253;Ana Regina C. da Rocha;UFRJ;F
61;353;Anderson A. Ferreira;UFMG/UFOP;M
62;43;Anderson Andrade De Menezes Filho;UFPE;M
63;1258;Anderson Kauer;;M
64;309;André Carlos Ponce Leon Ferreira de Carvalho;UFPB;M
65;1317;André Casimiro;;M
66;1346;André Costa;UFMG;M
67;391;André Luiz Braga;UFRJ;M
68;508;André Luiz da Costa Carvalho;UFAM;M
69;1106;André Medeiros;;M
70;256;André Monat;UFRJ;M
71;431;André O. Victor;UFRJ;M
72;728;André Santanchè;UNICAMP;M
73;27;André Souza Lemos;UFRGS;M
74;1468;Andréa Iabrudi Tavares;;F
75;123;Andrea S. Hemerly;IBM;F
76;378;Andréa Teles da Silva;IME;F
77;51;Andréa Zisman;UFPE;F
78;1350;Andrei De Souza Inácio;UFSC;M
79;461;Andréia da Silva Fagundes;;F
80;1002;Andresson da Silva Firmino;UFPE;M
81;334;Andrómaca Tasistro;Universidad de la Republica;F
82;571;Anelise Jantsch;;F
83;251;Anelise P. Braga;IBM;M
84;1110;Ângelo Brayner;UNIFOR;M
85;296;Ângelo E. M. Ciarlini;PUCRJ;M
86;1331;Angelo Fausti;LIneA;M
87;324;Angelo Perkusich;UFPB;M
88;1411;Anísio Lacerda;;M
89;527;Anjolina Grisi de Oliveira;UFPE;F
90;549;Anna Formica;;F
91;745;Anolan Yamilé Milanés;;F
92;721;Antónia Lopes;;F
93;312;Antonio Américo Trivellato Messias;UFMG;M
94;246;Antônio Carlos da Rocha Costa;UFRGS;M
95;39;Antonio L. Furtado;IBM;M
96;685;António Menezes Leitão;;M
97;819;Aran Bey Tcholakian Morales;;M
98;812;Aretusa Lopes;;F
99;1107;Aristênio Saraiva;;M
100;878;Arlei Silva;UCSB;M
101;8;Armando L. N. Delgado;UNICAMP;M
102;505;Arnaud Giacometti;Université de Tours;M
103;931;Arno Scharl;MODUL;M
104;1470;Arthur Emanuel de Oliveira Carosia;;M
105;498;Aruanda Simões Goncalves Meiguins;;F
106;315;Asterio K. Tanaka;UNIRIO;M
107;1305;Augusto Souza;;M
108;507;Ausberto S. Castro Vera;;M
109;304;Barrett R. Bryant;University of Alabama;M
110;491;Béatrice Bouchou;;F
111;2;Beatriz M. Daltrini;UNICAMP;F
112;103;Beatriz Zakimi;UFRJ;F
113;614;Benitz Vasconcelos;;M
114;1052;Bernadette Farias Lóscio;UFPE;F
115;138;Bernhard Mitschang;University of Stuttgart;M
116;1385;Berthier A. Ribeiro-Neto;UFMG;M
117;176;Bharat Bhargava;PU;M
118;1035;Bianca Zadrozny;IBM;F
119;475;Bianchi Serique Meiguins;;M
120;62;Brigitte Kerhervê;ENST;F
121;1094;Bruno C. Paes;;M
122;1042;Bruno de C. Leal;UFC;M
123;307;Bruno Defude;Grenoble;M
124;1194;Bruno Edson Martins de Albuquerque Filho;;M
125;740;Bruno Martins;;M
126;1294;Bruno Pinto;;M
127;411;Bruno Pôssas;Google;M
128;883;Bruno Tomazela;;M
129;568;Byung Suk Lee;;M
130;47;C. Maindreville;INRIA;M
131;829;C. Maria Keet;;M
132;68;Caetano Traina Jr.;USP;M
133;1348;Caio Daoud;UFAM;M
134;1115;Caio Santos;;M
135;642;Calton Pu;Georgia Tech;M
136;555;Carem C. Fabris;;F
137;944;Carina Dorneles;UFSC;F
138;360;Carine Geltrudes Webber;UCS;F
139;5;Carla Maria Dal Sasso-Freitas;UFRGS;F
140;455;Carla Osthoff;LNCC;F
141;1025;Carla Rodrigues;COPPE/UFRJ;F
142;834;Carla V. Ruiz;;F
143;547;Carlo Giovano S. Pires;;M
144;236;Carlo Tau;Universidad Nacional de La Plata;M
145;1364;Carlos A. F. Pimentel Filho;;M
146;20;Carlos A. Heuser;UFRGS;M
147;34;Carlos Alberto Felgueiras;INPE;M
148;1014;Carlos Alessandro Sena;UFAM;M
149;297;Carlos Augusto de Assis Lima;IME;M
150;517;Carlos Bedregal;;M
151;1088;Carlos Caminha;;M
152;1195;Carlos Eduardo M. Moreira;;M
153;784;Carlos Eduardo Pires;UFCG;M
154;1321;Carlos Favacho;;M
155;1326;Carlos Filipe Júnior;;M
156;310;Carlos H. C. Duarte;PUCRJ;M
157;1105;Carlos H. C. Teixeira;;M
158;264;Carlos H. Gomes;UFRJ;M
159;70;Carlos José M. Olguín;UNICAMP;M
160;1220;Carlos Juliano M. Viana;;M
161;59;Carlos Magno da Silva Xavier;IME;M
162;1296;Carlos Roberto Carvalho Oliveira;;M
163;241;Carmen Satie Hara;UNICAMP;M
164;795;Celso A. A. Kaestner;;M
165;1365;Celso Alberto Saibel Santos;;M
166;544;Celso Massaki Hirata;ITA;M
167;335;Celso Roberto Perez;UFRGS;M
168;754;César Feijó Nadvorny;;M
169;504;César S. de Oliveira;;M
170;797;Chinya V. Ravishankar;;M
171;1332;Christian Cesar Bones;ICMC/USP;M
172;739;Christian Mathis;;M
173;951;Christian Middleton;;M
174;294;Christine Collet;UG;F
175;644;Christoph Unbehend;;M
176;464;Christos Faloutsos;;M
177;120;Cirano Iochpe;UFRGS;M
178;282;Ciro de Barros Barbosa;University of Twente;M
179;255;Claduio D'Ipolitto;UFRJ;M
180;235;Clara Smith;Universidad Nacional de La Plata;F
181;31;Claudia Bauzer Medeiros;UNICAMP;F
182;152;Cláudia de A. Tocantins;PUCRJ;F
183;880;Cláudia Ferlin;;F
184;258;Cláudia L. Wener;UFRJ;F
185;321;Cláudia M. A. Cunha;UFPE;F
186;234;Cláudia Pons;Universidad Nacional de La Plata;F
187;204;Claudia Roncancio;Grenoble;F
188;276;Claudiney V. Ramos;UFMG;M
189;483;Cláudio Ananias Ferraz;;M
190;136;Cláudio de Souza Baptista;UFPB;M
191;262;Claudio Degrazia;UFRJ;M
192;292;Cláudio Fernando Resin Geyer;UFRGS;M
193;1421;Claudio Gutiérrez;;M
194;625;Claudio Haruo Yamamoto;;M
195;135;Claudio Luis de Amorim;UFRJ;M
196;242;Cláudio N. F. Trotta;UFRJ;M
197;371;Claudionor A. Nascimento;UFAC;M
198;83;Claudionor Tusco;IME;M
199;1471;Claudivan Cruz Lopes;;M
200;247;Cléber Holstácio de Melo;UFMG;M
201;1323;Cleidson De Souza;;M
202;55;Clênio F. Salviano;Consórcio CTI/BB/Embrapa;M
203;22;Clésio Saraiva Dos Santos;UFRGS;M
204;280;Cléver RIcardo Guareis de Farias;UFSCar;M
205;1338;Clícia Pinto;UFBA;F
206;164;Cora H. F. P. Ribeiro;UFRGS;F
207;457;Cristiana Bentes Seidel;UERJ;F
208;492;Cristiane A. Yaguinuma;UFSCar;F
209;598;Cristiane Amorim Mendes;;F
210;918;Cristiano D. Ferreira;;M
211;1299;Cristina Boeres;UFF;F
212;460;Cristina D. A. Ciferri;USP;F
213;779;Cynthia P. Santiago;;F
214;162;D. Laurent;UPSUD;M
215;1390;Damires Souza;;F
216;410;Damires Yluska de Souza Fernandes;;F
217;717;Daniel A. Furtado;UFU;M
218;606;Daniel Ariosto;;M
219;913;Daniel Carlos Guimarães Pedronette;;M
220;1046;Daniel de Oliveira;COPPE/UFRJ;M
221;1117;Daniel Figueiredo;UFRJ;M
222;838;Daniel Kaster;UEL;M
223;288;Daniel Schwabe;PUCRJ;M
224;305;Daniel. T. Chang;IBM;M
225;734;Daniela Alvarez;;F
226;805;Daniela Pereira;;F
227;17;Danilo Florisi;UFPE;M
228;272;Danilo Montesi;UEA;M
229;42;Dante Augusto Couto Barone;UFRGS;M
230;1316;Danusa Cunha;;F
231;683;Darío Álvarez Gutiérrez;;M
232;1391;David Fernandes de Oliveira;;M
233;1467;David Menotti Gomes;;M
234;750;David Patricio Viscarra del Pozo;;M
235;405;Débora Muchaluat;PUCRJ;F
236;52;Décio Fonseca;UFPE;M
237;275;Denilson Alves Pereira;UFMG;M
238;821;Denilson Sell;;M
239;493;Denio Duarte;;M
240;1190;Denise Brito;UFMG;F
241;1353;Derick M. Oliveira;UFMG;M
242;800;Dhananjay Kulkarni;;M
243;1478;Dimas C. Nascimento;;M
244;339;Diógenes Carvalho Aquino;UFMA;M
245;813;Diogo Mattos;;M
246;882;Diogo R. B. Nascimento;;M
247;798;Diogo Tuler Forlani;;M
248;792;Diorgens Meira;;M
249;442;Diva de Souza e Silva;;F
250;1093;Dorgival Guedes Neto;UFMG;M
251;716;Dorotéa Karine D. Pitombeira;;F
252;1298;Douglas Oliveira;UFF e LNCC;M
253;125;Duncan Dubugras Alcoba Ruiz;UFRGS;M
254;109;E. L. Fávero;UFRGS;M
255;112;E. Peres;UFRGS;M
256;184;E. R. K. Spoor;Vrije Universiteit;M
257;367;Ed Porto Bezerra;UFRJ;M
258;157;Edberto Ferneda;UFPB;M
259;899;Ederson Garcia;;M
260;158;Edilson Ferneda;UFPB;M
261;943;Edimar Manica;UFRGS;M
262;447;Edleno Silva De Moura;UFAM;M
263;923;Edmilson M. Moreira;;M
264;1386;Edmundo R. M. Madeira;;M
265;1208;Edson Alves;;M
266;810;Edson Oliveira;;M
267;1463;Edson R. D. Weren;;M
268;73;Eduardo Bezerra da Silva;;M
269;1233;Eduardo Bruno Silva Lustosa;;M
270;1059;Eduardo Cunha De Almeida;UFPR;M
271;657;Eduardo Delgado Assad;;M
272;382;Eduardo José Soler Mesquita;PWC;M
273;724;Eduardo L. G. Escovar;UFSCar;M
274;925;Eduardo N. Borges;;M
275;684;Eduardo Ogasawara;COPPE/UFRJ e CEFET-RJ;M
276;655;Eduardo R. Hruschka;USP;M
277;646;Eduardo Sany Laber;;M
278;786;Eduardo Terra Morelli;PUCRJ;M
279;852;Eduardo Valle;UNICAMP;M
280;1032;Edward A. Fox;Virginia Tech;M
281;387;Elaine P. Machado;USP;F
282;706;Elaine S. Silva;;F
283;337;Eleri Cardozo;UNICAMP;M
284;806;Eli Cortez C. Vilarinho;UFAM;M
285;1387;Eliane Martins;;F
286;90;Eliane Munerato;Embratel;F
287;168;Eliane Z. V. Dias;CPQD;F
288;554;Elisângela Botelho;;F
289;832;Ellison R. M. Siqueira;;M
290;1015;Elton Serra;UFAM;M
291;325;Elvira M. A. Uchoa;PUCRJ;F
292;768;Elvis Rodrigues da Silva;;M
293;33;Eni Alvim de Oliveira;MCT;M
294;909;Enzo Seraphim;UNIFEI;M
296;539;Eriko Werbet;UNIFOR;M
297;487;Ernesto Cuadros-Vargas;;M
298;318;Esperanza Pedraza;IMAG;F
299;332;Estehr Hochsztain;Universidad de la Republica;F
300;660;Estevam R. Hruschka Jr.;;M
301;149;Esther de Castro Pacitti;UFRJ;F
302;588;Esther Parrini;;F
303;388;Eugênio de Oliveira Simonetto;URCAMP;M
304;726;Evandrino G. Barros;UFMG;M
305;793;Evelin Giuliana Lima;;F
306;322;Eveline R. Sacramento;UFMG;F
307;369;F. A. Baião;UFRJ;M
308;206;F. Brissaud;Grenoble;M
309;248;F. J. Leick;TU Kaiserslautern;M
310;364;F. O. Tavares;UFRJ;M
311;396;F. Pires;UNICAMP;M
312;676;Fabiana Ruas;;F
313;884;Fabiano A. F. Graças;;M
314;1213;Fabiano Belém;;M
315;916;Fabiano C. Botelho;;M
316;289;Fabiano Calixto dos Santos;UFSCar;M
317;1268;Fábio Bezerra;UFRA;M
318;904;Fábio C. M. Ricotta;;M
319;766;Fábio Coutinho;;M
320;748;Fabio Jun Takada Chino;USP;M
321;860;Fabio Kon;;M
322;755;Fábio Luiz Leite Jr.;;M
323;1344;Fabio M. Costa;UFG;M
324;659;Fábio Meira de Oliveira Dias;;M
325;167;Fábio Porto;PUCRJ;M
326;502;Fabiola S. F. Pereira;UFU;M
327;928;Fabrício Benevenuto;UFMG;M
328;778;Fabrício Lemos;;M
329;122;Farid Nourani;UNICAMP;M
