id;id_work;id_author
1;1;2
2;1;3
3;2;4
4;2;5
5;2;6
6;3;7
7;3;8
8;4;9
9;4;10
10;5;11
11;5;12
12;5;13
13;6;14
14;6;15
15;6;16
16;6;17
17;6;18
18;6;19
19;7;20
20;8;21
21;8;22
22;9;25
23;9;23
24;9;24
25;10;1
26;10;27
28;11;29
27;12;28
29;12;30
30;13;31
31;14;5
32;14;32
33;15;33
34;16;34
35;16;9
36;16;35
37;16;10
38;17;36
39;18;37
40;18;38
41;18;39
42;19;5
43;19;6
44;19;40
45;20;41
46;20;42
47;21;43
48;21;15
49;22;44
51;24;39
52;24;39
53;25;46
54;25;47
55;26;48
56;26;49
57;26;50
58;27;51
59;27;52
60;27;53
61;28;56
62;28;57
63;28;58
64;28;54
65;28;55
66;29;59
67;29;23
68;30;52
69;30;60
70;31;61
71;31;62
72;32;64
73;32;52
74;32;63
75;33;1179
76;33;66
77;34;67
78;34;52
79;35;68
80;35;69
81;36;70
82;36;71
83;37;72
84;37;49
85;38;73
86;38;74
87;38;75
88;39;43
89;39;18
90;39;17
91;39;15
92;40;49
93;40;77
94;40;46
95;41;39
96;41;78
97;42;79
98;43;29
99;43;30
100;44;17
101;44;18
102;44;14
103;44;15
104;44;80
105;45;81
106;45;31
107;46;82
108;46;50
109;46;49
110;47;41
111;47;42
112;47;22
113;48;83
114;49;84
115;49;85
116;49;86
117;49;30
118;50;74
119;50;76
120;51;25
121;51;23
122;51;24
123;52;52
124;53;6
125;53;87
126;54;88
127;54;68
128;55;1
129;56;89
130;56;31
131;57;11
132;57;12
133;58;90
134;59;91
135;59;92
136;59;93
137;59;94
138;60;96
139;60;15
140;60;95
141;61;97
142;61;76
143;62;10
144;62;98
145;62;34
146;62;9
147;62;99
148;63;100
149;63;101
150;64;12
151;64;102
152;64;103
153;65;104
154;65;6
155;66;105
156;66;23
157;67;106
158;68;107
159;68;108
160;68;109
161;68;110
162;68;111
163;68;112
164;68;113
165;75;11
166;75;118
167;75;119
168;76;120
169;76;121
170;77;122
171;77;71
172;78;123
173;78;37
174;78;39
175;79;52
176;79;124
177;80;125
178;80;126
179;81;75
180;81;127
181;82;68
182;83;128
183;83;23
184;84;129
185;84;63
186;85;130
187;85;31
188;86;131
189;86;132
190;87;133
191;87;134
192;88;12
193;88;135
194;89;136
195;90;137
196;90;79
197;96;68
198;96;142
199;98;144
200;98;145
201;98;11
202;98;12
203;99;146
204;99;147
205;99;15
206;100;146
207;100;147
208;100;148
209;100;15
210;101;28
211;101;149
212;102;49
213;103;76
214;103;150
215;104;12
216;104;151
217;105;152
218;105;37
219;106;153
220;106;63
221;107;154
222;107;155
223;108;157
224;108;156
225;108;158
226;109;67
227;109;52
228;109;159
229;110;160
230;110;74
231;110;75
232;111;125
233;112;161
234;112;162
235;112;163
236;113;164
237;113;126
238;113;22
239;114;20
240;114;165
241;115;30
242;115;166
243;116;167
244;116;76
245;117;168
246;117;169
247;118;22
248;118;6
249;119;11
250;119;12
251;119;170
252;120;1385
253;120;172
254;121;75
255;121;37
256;121;173
257;122;75
258;122;174
259;123;175
260;123;176
261;124;177
262;124;178
263;124;37
264;125;137
265;125;79
266;125;179
267;125;180
268;125;76
269;126;183
270;126;49
271;126;181
272;126;182
273;127;184
274;127;185
275;127;186
276;127;187
277;128;39
278;128;37
279;129;31
280;129;188
281;130;52
282;130;126
283;130;189
284;131;190
285;131;191
286;132;120
287;132;121
288;133;192
289;134;193
290;134;30
291;135;194
292;135;195
293;136;196
294;136;76
295;136;150
296;137;198
297;137;79
298;137;76
299;137;197
300;138;199
301;138;200
302;138;76
303;139;201
304;139;62
305;140;202
306;141;203
307;141;204
308;142;206
309;142;207
310;142;205
311;143;208
312;143;75
317;153;214
318;153;215
319;154;1
320;154;216
321;155;217
322;155;6
323;155;219
324;155;218
325;156;221
326;156;31
327;156;220
328;157;222
329;157;6
330;157;40
331;158;223
332;158;6
333;159;224
334;159;23
335;160;179
336;160;79
337;161;225
338;161;226
339;162;215
340;162;134
341;163;68
342;163;227
343;163;228
344;164;229
345;164;230
346;164;231
347;165;232
348;165;233
349;165;234
350;165;235
351;165;236
352;165;237
353;166;8
354;166;239
355;166;70
356;166;7
357;166;71
358;167;1
359;167;240
360;168;20
361;169;100
362;170;241
363;170;134
364;171;11
365;171;12
366;171;242
367;172;52
368;172;187
369;172;243
